schedule_id,customer_id,vehicle_id,driver_id,scheduled_date,scheduled_time,delivery_window_start,delivery_window_end,priority_level,delivery_type,estimated_duration_hours,special_requirements,status,created_at
SCH73822,CUST8801,ALD3832,DRV1629,2025-05-23T14:44:47,14:44,20:00,24:00,Medium,Emergency,1.2,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.655959
SCH87234,CUST9348,ALD8356,DRV8223,2025-06-09T03:44:17,03:44,12:00,16:00,High,Scheduled,2.46,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.656095
SCH17936,CUST7028,ALD7365,DRV8905,2025-05-07T06:19:02,06:19,08:00,12:00,Medium,Express,3.64,['Express Delivery'],Scheduled,2025-10-04T23:50:00.656184
SCH10898,CUST7582,ALD4346,DRV8989,2025-02-21T02:14:48,02:14,20:00,24:00,Medium,Scheduled,2.8,"['Hazardous Materials', 'Fragile Handling']",Completed,2025-10-04T23:50:00.656267
SCH89836,CUST4509,ALD4380,DRV4907,2025-05-21T12:48:55,12:48,12:00,16:00,Low,Scheduled,7.92,['Standard Delivery'],In Progress,2025-10-04T23:50:00.656346
SCH93783,CUST3553,ALD6330,DRV9395,2025-05-02T00:56:50,00:56,08:00,12:00,Medium,Emergency,1.76,['Hazardous Materials'],Cancelled,2025-10-04T23:50:00.656475
SCH11405,CUST8239,ALD7202,DRV4966,2025-05-29T08:57:03,08:57,08:00,12:00,Medium,Standard,6.01,['Fragile Handling'],Cancelled,2025-10-04T23:50:00.656605
SCH95526,CUST6873,ALD4208,DRV7238,2025-02-16T08:56:30,08:56,12:00,16:00,High,Standard,5.37,['Standard Delivery'],Cancelled,2025-10-04T23:50:00.656738
SCH72509,CUST2337,ALD3531,DRV6433,2025-03-31T17:24:34,17:24,16:00,20:00,Medium,Scheduled,4.82,['Hazardous Materials'],Scheduled,2025-10-04T23:50:00.656813
SCH15462,CUST5064,ALD7629,DRV7751,2025-03-15T13:42:10,13:42,20:00,24:00,Medium,Scheduled,3.71,['Standard Delivery'],Completed,2025-10-04T23:50:00.656886
SCH50448,CUST5826,ALD2223,DRV3901,2025-05-30T22:51:54,22:51,12:00,16:00,Medium,Standard,5.52,"['Hazardous Materials', 'Fragile Handling']",In Progress,2025-10-04T23:50:00.656955
SCH55121,CUST5220,ALD7178,DRV2120,2025-03-25T19:17:08,19:17,08:00,12:00,High,Standard,3.81,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.657087
SCH53673,CUST1673,ALD3169,DRV2062,2025-04-18T09:16:44,09:16,08:00,12:00,Low,Bulk,11.07,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.657213
SCH36450,CUST8737,ALD9293,DRV2411,2025-04-16T19:30:15,19:30,20:00,24:00,Medium,Scheduled,7.44,['Standard Delivery'],Cancelled,2025-10-04T23:50:00.657306
SCH30545,CUST9100,ALD1064,DRV3629,2025-06-28T22:49:42,22:49,08:00,12:00,Medium,Refrigerated,7.26,['Temperature Control'],In Progress,2025-10-04T23:50:00.657377
SCH85229,CUST4686,ALD6853,DRV3055,2025-05-03T21:50:23,21:50,08:00,12:00,Low,Bulk,9.93,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.657460
SCH93391,CUST1038,ALD6882,DRV5329,2025-03-08T13:24:14,13:24,16:00,20:00,Low,Scheduled,4.24,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.657576
SCH12771,CUST4199,ALD5735,DRV8827,2025-01-10T16:28:55,16:28,16:00,20:00,Medium,Emergency,1.02,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.657703
SCH25817,CUST4317,ALD5736,DRV4986,2025-06-07T03:22:13,03:22,16:00,20:00,Medium,Emergency,1.62,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.657810
SCH21994,CUST6716,ALD2689,DRV4411,2025-05-08T17:58:22,17:58,16:00,20:00,Medium,Bulk,7.19,['Fragile Handling'],Scheduled,2025-10-04T23:50:00.657879
SCH87984,CUST9616,ALD6058,DRV2061,2025-06-02T15:41:21,15:41,16:00,20:00,Medium,Emergency,1.04,['Standard Delivery'],Scheduled,2025-10-04T23:50:00.657945
