metrics_id,date,vehicle_id,driver_id,depot_id,route_id,total_distance_km,total_fuel_consumed_liters,average_fuel_efficiency,total_delivery_time_hours,on_time_delivery_rate,accidents_count,violations_count,safety_score,total_fuel_cost_sar,maintenance_cost_sar,total_operating_cost_sar,customer_satisfaction_score,delivery_success_rate,complaint_count,co2_emissions_kg,fuel_waste_liters,environmental_score,created_at,warehouse_id,supplier_id,inventory_turnover,stock_accuracy_percent,stockout_incidents,overstock_value_sar,order_fulfillment_rate,average_order_cycle_time_days,order_accuracy_rate,supplier_performance_score,supplier_reliability_percent,cost_savings_sar,transportation_cost_sar,fuel_efficiency_km_per_liter,route_optimization_savings_sar,defect_rate_percent,return_rate_percent,carbon_footprint_kg_co2,waste_reduction_percent,sustainability_score
PERF74856,2025-05-26T09:03:40,ALD8710,DRV9726,DEP3,RT84573,363.3,33.83,10.74,6.25,0.901,0.0,0.0,5.0,80.61,661.25,1131.77,4.7,0.92,0.0,90.66,1.85,4.1,2025-10-04T23:50:06.787403,,,,,,,,,,,,,,,,,,,,
PERF16793,2025-03-26T12:28:42,ALD4001,DRV8672,DEP5,RT40738,1324.11,114.05,11.61,19.3,0.855,0.0,0.0,5.0,319.24,1876.4,2671.58,4.8,0.968,0.0,305.65,6.81,4.5,2025-10-04T23:50:06.787522,,,,,,,,,,,,,,,,,,,,
PERF33828,2025-01-27T10:36:42,ALD4167,DRV5915,DEP2,RT36597,750.37,72.57,10.34,12.17,0.855,0.0,0.0,5.0,157.59,935.04,1441.55,4.3,0.939,0.0,194.49,3.76,3.8,2025-10-04T23:50:06.787600,,,,,,,,,,,,,,,,,,,,
PERF72625,2025-05-20T15:40:38,ALD1357,DRV6559,DEP2,RT35289,241.58,20.3,11.9,3.99,0.938,0.0,0.0,5.0,43.37,414.2,1199.9,4.2,0.93,0.0,54.4,0.92,4.0,2025-10-04T23:50:06.787673,,,,,,,,,,,,,,,,,,,,
PERF57780,2025-02-28T06:19:39,ALD5620,DRV8911,DEP3,RT19174,774.09,91.61,8.45,12.85,0.865,0.0,0.0,5.0,198.92,546.51,1079.63,4.4,0.947,0.0,245.51,3.48,4.6,2025-10-04T23:50:06.787752,,,,,,,,,,,,,,,,,,,,
PERF87194,2025-06-14T13:10:08,ALD1190,DRV5372,DEP6,RT23553,1360.25,200.33,6.79,23.06,0.868,0.0,0.0,5.0,446.23,2081.79,2844.58,4.8,0.937,0.0,536.88,11.92,3.8,2025-10-04T23:50:06.787825,,,,,,,,,,,,,,,,,,,,
PERF24122,2025-04-23T09:19:13,ALD7830,DRV1638,DEP6,RT88528,256.75,36.16,7.1,5.32,0.869,0.0,0.0,5.0,90.91,301.55,798.13,4.8,0.975,0.0,96.91,2.43,3.7,2025-10-04T23:50:06.787899,,,,,,,,,,,,,,,,,,,,
PERF95431,2025-05-12T09:07:59,ALD5735,DRV5358,DEP5,RT43825,795.72,131.52,6.05,11.5,0.911,0.0,0.0,5.0,302.33,516.16,1118.3,4.8,0.934,0.0,352.47,9.64,4.8,2025-10-04T23:50:06.787970,,,,,,,,,,,,,,,,,,,,
PERF25637,2025-02-14T00:39:04,ALD3808,DRV2491,DEP4,RT88227,1474.64,152.02,9.7,24.58,0.884,0.0,0.0,5.0,410.26,1799.51,2511.44,4.6,0.96,0.0,407.41,10.69,4.0,2025-10-04T23:50:06.788038,,,,,,,,,,,,,,,,,,,,
PERF92752,2025-03-16T05:14:19,ALD1137,DRV9983,DEP6,RT29315,1211.55,105.63,11.47,22.02,0.924,0.0,0.0,5.0,235.82,871.51,1689.54,4.5,0.95,0.0,283.09,6.79,3.7,2025-10-04T23:50:06.788106,,,,,,,,,,,,,,,,,,,,
