inventory_id,depot_id,item_code,item_name,item_category,quantity_in_stock,minimum_stock_level,maximum_stock_level,unit_cost_sar,supplier_name,last_restocked_date,expiry_date,batch_number,storage_location,condition,created_at
INV45237,DEP4,ITEM1412,Air Filter,Engine Parts,110,44,384,239.16,Volvo Parts,2025-03-25T12:41:56,,BATCH-7266,Warehouse B,Good,2025-10-04T23:50:00.391561
INV26730,DEP1,ITEM3979,Tire 385/65R22.5,Tires,346,90,574,2457.2,Scania Parts,2025-05-30T09:38:06,,BATCH-7218,Warehouse B,Good,2025-10-04T23:50:00.391743
INV14609,DEP1,ITEM1865,Wiring Harness,Electrical,105,31,340,88.61,Aramco Parts,2025-04-13T02:27:21,,BATCH-3586,Cold Storage,Good,2025-10-04T23:50:00.391891
INV12185,DEP1,ITEM5131,Brake Calipers,Brake System,207,27,302,213.4,Aramco Parts,2025-01-21T15:53:56,2026-07-28T15:53:56,BATCH-7675,Cold Storage,Good,2025-10-04T23:50:00.398190
INV57794,DEP5,ITEM4814,Spark Plugs,Engine Parts,100,47,151,382.46,MAN Parts,2025-06-06T21:16:56,2026-11-08T21:16:56,BATCH-0246,Warehouse B,Good,2025-10-04T23:50:00.398414
INV34176,DEP3,ITEM6711,Power Steering Fluid,Fluids,484,149,721,65.93,Mercedes Parts,2025-02-14T11:09:45,2026-03-05T11:09:45,BATCH-2218,Warehouse A,Good,2025-10-04T23:50:00.398577
INV86885,DEP1,ITEM6493,Tool Kit,Accessories,188,50,442,333.65,Scania Parts,2025-01-29T16:41:57,2027-06-23T16:41:57,BATCH-4679,Warehouse B,Good,2025-10-04T23:50:00.398720
INV48237,DEP2,ITEM3094,Battery 12V,Electrical,74,31,281,443.82,Aramco Parts,2025-03-19T18:21:42,,BATCH-8249,Cold Storage,Good,2025-10-04T23:50:00.398891
INV18046,DEP2,ITEM7071,Floor Mats,Accessories,229,26,251,241.08,Total Oil,2025-01-16T01:03:34,2027-06-06T01:03:34,BATCH-5248,Hazardous Storage,Good,2025-10-04T23:50:00.399077
INV87009,DEP3,ITEM2364,Fuses,Electrical,213,17,497,160.33,Aftermarket Parts,2025-05-03T02:13:00,,BATCH-8618,Hazardous Storage,Good,2025-10-04T23:50:00.399261
INV31807,DEP1,ITEM8644,Oil Filter,Engine Parts,298,147,510,62.52,Iveco Parts,2025-04-26T15:37:45,2027-03-29T15:37:45,BATCH-2969,Warehouse B,Good,2025-10-04T23:50:00.399642
INV20080,DEP5,ITEM3842,Brake Pads,Brake System,102,12,193,275.28,Iveco Parts,2025-03-01T08:13:33,2027-11-03T08:13:33,BATCH-9102,Cold Storage,Good,2025-10-04T23:50:00.402210
INV34508,DEP2,ITEM1092,Wiper Blades,Accessories,207,20,313,290.28,OEM Supplier,2025-03-06T00:40:38,2026-05-11T00:40:38,BATCH-7716,Hazardous Storage,Good,2025-10-04T23:50:00.402499
INV84405,DEP2,ITEM7440,Coolant,Fluids,109,17,170,218.53,Aramco Parts,2025-02-01T07:54:38,2026-02-23T07:54:38,BATCH-8570,Warehouse A,Good,2025-10-04T23:50:00.402872
INV37065,DEP1,ITEM5586,Brake Lines,Brake System,22,19,378,199.77,Aramco Parts,2025-06-04T11:48:47,2026-07-23T11:48:47,BATCH-8083,Cold Storage,Good,2025-10-04T23:50:00.403106
INV49410,DEP1,ITEM3465,Air Filter,Engine Parts,112,46,262,73.23,Local Supplier,2025-02-19T10:52:21,,BATCH-1832,Cold Storage,Poor,2025-10-04T23:50:00.403232
INV58956,DEP1,ITEM9784,Bulbs,Electrical,277,12,488,160.88,Volvo Parts,2025-05-07T22:59:13,,BATCH-7476,Warehouse A,Good,2025-10-04T23:50:00.403341
