metrics_id,date,warehouse_id,supplier_id,inventory_turnover,stock_accuracy_percent,stockout_incidents,overstock_value_sar,order_fulfillment_rate,average_order_cycle_time_days,on_time_delivery_rate,order_accuracy_rate,supplier_performance_score,supplier_reliability_percent,cost_savings_sar,transportation_cost_sar,fuel_efficiency_km_per_liter,route_optimization_savings_sar,defect_rate_percent,customer_satisfaction_score,return_rate_percent,carbon_footprint_kg_co2,waste_reduction_percent,sustainability_score,created_at
SCM40107,2025-06-28T05:05:54,WH726,SUP1361,6.31,96.79,7,27391.14,0.977,7.35,0.96,0.967,4.3,85.85,36461.71,32577.52,11.61,2468.51,0.64,4.4,1.38,5675.72,19.23,4.1,2025-10-04T21:15:16.884521
SCM24028,2025-06-21T05:49:36,WH562,SUP9272,8.11,95.61,5,63749.37,0.966,2.85,0.958,0.987,4.4,88.43,11063.49,50927.42,10.55,7558.91,1.33,4.2,1.92,9593.49,12.24,4.4,2025-10-04T21:15:16.884611
SCM23742,2025-06-10T20:00:31,WH243,SUP6943,6.09,97.56,9,49533.84,0.937,7.48,0.964,0.958,4.5,92.0,17079.36,86445.11,6.1,10648.47,0.41,4.6,1.89,2309.83,16.63,4.3,2025-10-04T21:15:16.884680
SCM68246,2025-04-06T17:07:12,WH159,SUP4729,10.33,99.06,0,37173.47,0.941,3.05,0.894,0.976,3.9,86.67,35017.06,97468.43,7.04,6461.8,0.43,4.8,1.33,7553.78,19.66,4.3,2025-10-04T21:15:16.884743
SCM11647,2025-05-29T23:24:44,WH969,SUP5373,4.98,95.51,3,71698.41,0.982,8.65,0.945,0.971,5.0,97.94,26491.46,20359.58,11.44,9935.12,1.1,4.8,0.51,5188.69,20.8,4.7,2025-10-04T21:15:16.884803
SCM44844,2025-06-07T07:58:20,WH678,SUP8849,11.31,95.15,2,92167.58,0.931,9.3,0.948,0.963,3.9,95.74,37407.38,48865.13,10.94,17361.62,1.01,4.4,0.59,1325.4,18.13,4.4,2025-10-04T21:15:16.884865
SCM97379,2025-03-21T08:19:08,WH987,SUP7059,10.89,97.69,2,81021.58,0.97,3.45,0.957,0.968,3.7,97.23,8089.82,59298.46,11.36,18281.58,1.36,4.4,2.46,1013.26,13.49,3.1,2025-10-04T21:15:16.884936
SCM47426,2025-03-31T04:36:32,WH582,SUP8608,9.51,96.4,4,65785.02,0.942,7.61,0.954,0.964,3.9,95.51,16552.46,75028.99,11.66,17270.88,1.93,4.9,2.63,9480.68,6.64,3.7,2025-10-04T21:15:16.884996
SCM61223,2025-03-27T22:46:13,WH444,SUP2766,5.6,96.22,4,39771.18,0.968,2.24,0.962,0.971,4.6,86.44,40816.51,92044.46,7.41,19137.0,0.28,4.1,1.95,4074.2,10.55,4.9,2025-10-04T21:15:16.885053
SCM60199,2025-06-29T00:34:23,WH482,SUP6186,6.06,95.08,0,10507.17,0.938,5.47,0.928,0.982,3.6,85.19,28667.14,12461.87,9.54,17318.11,0.66,4.6,1.79,2482.12,7.95,3.6,2025-10-04T21:15:16.885111
SCM38963,2025-02-18T12:47:45,WH278,SUP6770,11.72,99.38,3,19459.91,0.985,9.59,0.938,0.956,3.8,93.16,15541.69,86942.74,7.26,4049.2,1.48,4.6,1.73,4594.01,15.93,4.4,2025-10-04T21:15:16.885169
SCM26565,2025-06-11T20:00:34,WH336,SUP7318,4.21,98.22,9,60542.34,0.964,7.58,0.946,0.956,3.5,89.77,31100.86,27363.79,9.46,2768.42,1.89,4.3,0.86,1878.02,6.68,3.0,2025-10-04T21:15:16.885233
SCM22186,2025-06-17T06:56:37,WH261,SUP9293,10.22,97.11,5,31117.98,0.964,5.37,0.915,0.96,4.3,94.79,12898.34,95464.44,6.45,4163.48,0.95,4.2,2.21,5284.83,14.53,3.4,2025-10-04T21:15:16.885292
SCM59503,2025-04-23T22:10:40,WH340,SUP6402,5.87,96.92,4,98605.85,0.964,3.16,0.943,0.966,4.7,97.29,42326.37,43446.56,7.52,10979.38,0.36,4.7,1.75,1145.74,11.9,3.0,2025-10-04T21:15:16.885348
SCM58805,2025-04-20T13:37:55,WH613,SUP6100,5.1,97.38,7,25826.2,0.925,2.03,0.929,0.968,4.4,91.65,49017.74,43973.71,11.95,10386.35,1.26,5.0,1.79,3908.27,16.5,3.4,2025-10-04T21:15:16.885405
SCM72455,2025-06-12T07:24:18,WH445,SUP8165,8.09,99.46,10,57859.32,0.975,6.42,0.961,0.975,4.0,87.38,28225.22,44659.85,7.64,2204.44,1.1,4.2,1.33,8036.27,16.22,4.3,2025-10-04T21:15:16.885462
SCM72224,2025-03-19T20:16:34,WH806,SUP1988,10.89,97.44,7,11561.81,0.957,8.03,0.903,0.959,4.4,86.61,35149.14,81643.83,11.04,10105.13,1.9,4.6,0.83,5982.02,15.74,3.1,2025-10-04T21:15:16.885519
SCM76252,2025-06-13T21:34:00,WH816,SUP4272,7.18,97.41,1,49683.27,0.988,6.8,0.881,0.979,3.8,86.89,26901.64,73460.78,10.3,16600.68,1.17,4.4,2.42,4574.35,11.4,4.8,2025-10-04T21:15:16.885578
SCM35735,2025-04-28T00:35:51,WH442,SUP9310,9.06,99.32,0,28599.95,0.967,6.35,0.889,0.958,3.6,85.54,39690.06,57996.47,7.12,6214.1,0.14,4.0,2.22,1406.76,12.89,4.2,2025-10-04T21:15:16.885634
SCM25394,2025-02-05T16:36:39,WH391,SUP2082,6.96,97.17,9,33554.75,0.976,4.98,0.937,0.958,4.4,95.46,28886.79,45189.72,10.67,18791.73,0.94,4.0,0.98,9178.15,22.26,3.8,2025-10-04T21:15:16.885692
SCM95850,2025-04-20T03:54:59,WH792,SUP4673,6.12,95.86,8,69674.52,0.966,3.73,0.933,0.957,3.9,86.64,28293.12,33085.59,6.19,17304.76,1.71,4.1,2.76,4113.83,20.52,3.1,2025-10-04T21:15:16.885749
SCM83812,2025-05-04T07:13:58,WH410,SUP4493,8.74,95.17,3,11743.41,0.944,3.37,0.955,0.986,4.1,95.81,44591.61,87010.75,8.49,17938.4,1.46,4.7,2.38,6969.24,7.45,4.3,2025-10-04T21:15:16.885805
SCM96246,2025-03-25T09:24:01,WH378,SUP8154,11.83,98.18,6,69894.02,0.961,2.12,0.882,0.958,3.7,89.24,20405.53,74147.76,6.59,5306.49,0.4,4.1,0.98,7916.57,10.52,4.2,2025-10-04T21:15:16.885861
SCM36911,2025-03-07T09:27:53,WH327,SUP4440,11.31,97.72,1,81686.01,0.962,4.82,0.919,0.981,3.6,88.71,23389.27,52286.3,10.29,14135.04,0.76,4.7,2.13,4960.54,22.03,3.9,2025-10-04T21:15:16.885917
SCM37962,2025-05-16T05:48:19,WH191,SUP2285,9.68,97.93,10,14315.59,0.924,5.04,0.918,0.984,4.7,88.87,30523.84,49979.41,10.17,14214.55,0.53,4.8,1.95,7517.98,9.97,4.1,2025-10-04T21:15:16.885973
SCM65740,2025-04-30T16:57:43,WH525,SUP1584,11.11,96.53,2,56000.55,0.925,4.17,0.948,0.985,3.5,94.44,44080.55,31901.55,10.21,2802.05,1.11,4.2,1.76,4858.72,12.2,4.6,2025-10-04T21:15:16.886030
SCM88227,2025-04-16T12:52:59,WH885,SUP7151,6.31,95.78,1,39096.5,0.987,5.91,0.949,0.988,4.5,95.45,18890.33,59552.05,9.86,8248.12,1.13,4.1,2.3,8997.57,13.62,4.3,2025-10-04T21:15:16.886087
SCM21130,2025-06-15T21:28:23,WH882,SUP1550,4.43,97.56,8,46481.65,0.967,5.18,0.883,0.954,4.8,86.5,31045.83,21037.05,8.95,5745.21,1.31,4.6,2.14,7565.42,24.87,4.5,2025-10-04T21:15:16.886143
SCM54157,2025-02-05T09:52:38,WH885,SUP1363,10.83,96.06,9,96392.02,0.927,2.92,0.937,0.987,4.8,85.78,45453.44,17538.78,10.73,18362.3,0.61,4.8,1.33,8609.02,12.92,4.7,2025-10-04T21:15:16.886201
SCM80023,2025-05-23T15:33:22,WH986,SUP5307,9.43,96.39,7,44376.97,0.926,7.69,0.908,0.971,4.3,86.51,25967.29,67977.78,10.0,7494.59,1.87,4.3,2.79,6074.62,17.05,5.0,2025-10-04T21:15:16.886257
SCM92366,2025-03-03T06:37:47,WH872,SUP6950,7.01,98.82,10,65762.06,0.96,5.3,0.924,0.966,4.3,93.98,34575.12,11757.76,6.08,19602.92,1.89,4.0,1.97,9427.66,20.06,3.3,2025-10-04T21:15:16.886321
SCM25318,2025-05-29T16:43:38,WH969,SUP2974,5.5,97.23,8,22570.44,0.922,4.68,0.928,0.981,4.9,89.87,25029.21,67230.83,8.78,8587.64,1.96,4.5,2.56,3544.04,10.18,4.1,2025-10-04T21:15:16.886379
SCM22948,2025-04-01T22:34:28,WH995,SUP4033,6.94,98.46,5,83829.24,0.987,3.6,0.97,0.954,4.7,96.48,5224.88,32888.52,11.75,15877.62,1.62,4.3,2.86,2645.37,14.44,4.8,2025-10-04T21:15:16.886436
SCM92124,2025-04-15T08:12:35,WH594,SUP3905,4.38,99.34,6,52455.36,0.973,6.28,0.946,0.956,3.9,91.75,35609.95,72738.17,11.91,12600.32,0.64,4.4,0.5,7783.62,18.02,4.0,2025-10-04T21:15:16.886498
SCM84478,2025-03-17T09:42:44,WH905,SUP7785,7.95,95.82,7,44369.81,0.939,3.19,0.926,0.972,3.7,92.27,16988.62,66241.34,7.37,19860.28,0.82,4.5,0.8,6295.33,11.42,4.9,2025-10-04T21:15:16.886567
SCM92530,2025-03-13T14:14:12,WH404,SUP6617,11.75,97.77,3,44670.92,0.934,8.58,0.883,0.972,4.3,88.88,47233.34,22491.52,8.38,16494.26,0.76,4.4,1.5,9962.94,24.77,3.3,2025-10-04T21:15:16.886630
SCM62134,2025-02-25T10:29:11,WH356,SUP6914,8.93,99.31,10,90575.19,0.933,2.16,0.928,0.972,4.3,87.01,24601.24,86754.26,10.74,15402.94,0.65,4.4,2.11,4399.91,14.53,3.7,2025-10-04T21:15:16.886688
SCM21794,2025-06-26T20:03:40,WH913,SUP8674,5.45,97.93,7,96809.35,0.977,8.97,0.906,0.951,3.8,87.57,31549.57,11385.92,11.79,3754.97,1.13,5.0,2.58,1454.08,7.43,4.9,2025-10-04T21:15:16.886754
SCM72982,2025-04-12T01:25:26,WH668,SUP1746,8.4,96.9,2,49172.55,0.982,2.96,0.915,0.986,4.4,96.19,17021.66,44286.08,8.66,12117.35,1.4,4.2,0.58,8919.41,12.39,4.9,2025-10-04T21:15:16.886813
